subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1006,하행,효창공원앞,일반,6031,신내,2025-05-26 07:30:03,1
1006,하행,안암(고대병원앞),일반,6025,봉화산,2025-05-26 07:30:03,1
1006,하행,상수,일반,6033,봉화산,2025-05-26 07:30:03,1
1006,하행,불광,일반,6043,봉화산,2025-05-26 07:30:03,1
1008,상행,단대오거리,일반,8054,별내,2025-05-26 07:30:03,1
1006,하행,새절(신사),일반,6041,봉화산,2025-05-26 07:30:03,1
1008,하행,산성,일반,8023,모란,2025-05-26 07:30:05,1
1007,하행,대림,일반,7047,석남,2025-05-26 07:30:06,1
1001,상행,의정부,일반,0970,동두천,2025-05-26 07:30:06,1
1007,하행,온수,일반,7041,석남,2025-05-26 07:30:06,1
1007,하행,철산,일반,7043,석남,2025-05-26 07:30:06,1
1007,하행,군자(능동),일반,7061,석남,2025-05-26 07:30:06,1
1007,하행,상동,일반,7031,석남,2025-05-26 07:30:06,1
1007,하행,숭실대입구(살피재),일반,7051,석남,2025-05-26 07:30:06,1
1007,하행,논현,일반,7055,석남,2025-05-26 07:30:06,1
1007,하행,뚝섬유원지,일반,7059,석남,2025-05-26 07:30:06,1
1007,하행,총신대입구(이수),일반,7053,석남,2025-05-26 07:30:06,1
1007,하행,도봉산,일반,7079,석남,2025-05-26 07:30:06,1
1007,하행,신중동,일반,7033,석남,2025-05-26 07:30:06,1
1007,하행,부천종합운동장,일반,7035,석남,2025-05-26 07:30:06,1
1007,하행,천왕,일반,7039,석남,2025-05-26 07:30:06,1
1007,하행,석남,일반,7025,석남,2025-05-26 07:30:06,1
1007,하행,굴포천,일반,7029,석남,2025-05-26 07:30:06,1
1007,하행,장암,일반,7091,온수,2025-05-26 07:30:06,1
1007,하행,장암,일반,7083,석남,2025-05-26 07:30:06,1
1007,하행,도봉산,일반,7077,온수,2025-05-26 07:30:06,1
1007,하행,먹골,일반,7067,석남,2025-05-26 07:30:06,1
1007,하행,용마산,일반,7063,석남,2025-05-26 07:30:06,1
1005,상행,명일,일반,5040,강동,2025-05-26 07:30:07,1
1003,하행,매봉,일반,3025,오금,2025-05-26 07:30:07,1
1005,상행,방이,일반,5524,방화,2025-05-26 07:30:07,1
1005,상행,강동,일반,5522,방화,2025-05-26 07:30:07,1
1005,상행,송정,일반,5508,방화,2025-05-26 07:30:07,1
1005,상행,길동,일반,5038,방화,2025-05-26 07:30:07,1
1003,하행,일원,일반,3023,오금,2025-05-26 07:30:07,1
1005,상행,마천,일반,5528,방화,2025-05-26 07:30:07,1
1005,상행,마천,일반,5526,방화,2025-05-26 07:30:07,1
1005,상행,광화문,일반,5026,방화,2025-05-26 07:30:07,1
1005,상행,왕십리,일반,5518,방화,2025-05-26 07:30:07,1
1008,상행,별내,일반,8034,별내,2025-05-26 07:30:07,1
1001,하행,동인천,일반,0023,인천,2025-05-26 07:30:08,1
1005,상행,미사,일반,5044,방화,2025-05-26 07:30:08,1
1004,하행,동작,일반,4525,오이도,2025-05-26 07:30:08,1
1003,하행,금호,일반,3033,오금,2025-05-26 07:30:08,1
1003,하행,동대입구,일반,3035,오금,2025-05-26 07:30:08,1
1003,상행,구파발,일반,3052,대화,2025-05-26 07:30:08,1
1001,하행,동암,일반,0027,인천,2025-05-26 07:30:08,1
1001,하행,송탄,일반,0613,천안,2025-05-26 07:30:08,1
1003,상행,지축,일반,3050,대화,2025-05-26 07:30:08,1
1004,하행,이촌,일반,4017,사당,2025-05-26 07:30:08,1
1003,상행,구파발,일반,3048,구파발,2025-05-26 07:30:08,1
1004,하행,한성대입구,일반,4023,사당,2025-05-26 07:30:09,1
1004,하행,서울,일반,4019,사당,2025-05-26 07:30:09,1
1003,하행,종로3가,일반,3037,오금,2025-05-26 07:30:09,1
1003,하행,안국,일반,3039,오금,2025-05-26 07:30:09,1
1003,하행,홍제,일반,3043,오금,2025-05-26 07:30:09,1
1004,하행,충무로,일반,4021,사당,2025-05-26 07:30:09,1
1004,하행,명동,일반,4303,안산,2025-05-26 07:30:09,1
1008,하행,잠실,일반,8029,모란,2025-05-26 07:30:10,1
1003,하행,화정,일반,3057,오금,2025-05-26 07:30:10,1
