subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1002,내선,성수,일반,2302,성수,2025-05-31 16:59:34,3
1008,하행,복정,일반,8149,모란,2025-05-31 17:00:01,1
1003,하행,가락시장,일반,3209,오금,2025-05-31 17:00:01,1
1006,상행,봉화산,일반,6166,응암순환(상선),2025-05-31 17:00:02,1
1006,상행,신내,일반,6174,응암순환(상선),2025-05-31 17:00:02,1
1001,상행,종로3가,일반,0664,청량리,2025-05-31 17:00:02,1
1001,상행,청량리,일반,0124,양주,2025-05-31 17:00:02,1
1006,상행,안암(고대병원앞),일반,6162,응암순환(상선),2025-05-31 17:00:02,1
1006,상행,신내,일반,6168,응암순환(상선),2025-05-31 17:00:02,1
1003,하행,대청,일반,3211,오금,2025-05-31 17:00:02,1
1003,하행,도곡,일반,3213,오금,2025-05-31 17:00:02,1
1003,하행,남부터미널,일반,3215,오금,2025-05-31 17:00:02,1
1004,상행,반월,일반,4628,불암산,2025-05-31 17:00:02,1
1001,하행,인천,일반,0127,인천,2025-05-31 17:00:02,1
1001,상행,천안,일반,0678,광운대,2025-05-31 17:00:02,1
1001,하행,인천,일반,0125,인천,2025-05-31 17:00:02,1
1005,하행,목동,일반,5609,마천,2025-05-31 17:00:03,1
1005,하행,군자(능동),일반,5599,마천,2025-05-31 17:00:03,1
1005,하행,우장산,일반,5611,마천,2025-05-31 17:00:03,1
1003,하행,종로3가,일반,3223,수서,2025-05-31 17:00:03,1
1005,하행,여의도,일반,5101,하남검단산,2025-05-31 17:00:03,1
1003,하행,약수,일반,3221,오금,2025-05-31 17:00:03,1
1002,외선,한양대,일반,2291,성수,2025-05-31 17:00:04,5
1002,외선,당산,일반,3279,성수,2025-05-31 17:00:04,5
1002,내선,잠실,일반,2296,성수,2025-05-31 17:00:04,5
1002,내선,강남,일반,8292,성수,2025-05-31 17:00:04,5
1002,내선,을지로4가,일반,2270,성수,2025-05-31 17:00:04,5
1002,외선,을지로4가,일반,8289,성수,2025-05-31 17:00:04,5
1002,외선,서울대입구,일반,2271,성수,2025-05-31 17:00:04,5
1002,내선,시청,일반,2272,성수,2025-05-31 17:00:04,5
1002,내선,신도림,일반,3280,성수,2025-05-31 17:00:04,5
1002,외선,시청,일반,3285,성수,2025-05-31 17:00:04,5
1002,외선,신대방,일반,2273,성수,2025-05-31 17:00:04,5
1002,내선,방배,일반,3288,성수,2025-05-31 17:00:04,5
1002,내선,당산,일반,2278,성수,2025-05-31 17:00:04,5
1002,내선,아현,일반,8274,성수,2025-05-31 17:00:04,5
1002,내선,서초,일반,4290,신도림,2025-05-31 17:00:04,5
1002,내선,서울대입구,일반,2284,성수,2025-05-31 17:00:04,5
1002,외선,상왕십리,일반,2287,성수,2025-05-31 17:00:04,5
1002,외선,방배,일반,7269,성수,2025-05-31 17:00:04,5
1002,외선,충정로,일반,6283,성수,2025-05-31 17:00:04,5
1002,하행,양천구청,일반,5633,신도림지선,2025-05-31 17:00:04,5
1002,외선,신도림,일반,3277,성수,2025-05-31 17:00:04,5
1002,내선,홍대입구,일반,2276,성수,2025-05-31 17:00:04,5
1002,외선,삼성,일반,2263,성수,2025-05-31 17:00:04,5
1002,외선,대림,일반,6275,성수,2025-05-31 17:00:04,5
1002,하행,용두,일반,1627,신설동,2025-05-31 17:00:04,5
1002,내선,상왕십리,일반,3268,성수,2025-05-31 17:00:04,5
1008,상행,"남한산성입구(성남법원,검찰청)",일반,8160,별내,2025-05-31 17:00:04,1
1002,상행,신설동,일반,1630,성수지선,2025-05-31 17:00:04,5
1008,하행,석촌,일반,8151,모란,2025-05-31 17:00:04,1
1003,하행,지축,일반,3231,오금,2025-05-31 17:00:05,1
1007,상행,온수,일반,7220,장암,2025-05-31 17:00:05,1
1007,상행,강남구청,일반,7204,장암,2025-05-31 17:00:05,1
1007,상행,철산,일반,7216,장암,2025-05-31 17:00:05,1
1007,상행,노원,일반,7194,도봉산,2025-05-31 17:00:05,1
1003,하행,연신내,일반,3229,오금,2025-05-31 17:00:05,1
1007,상행,용마산,일반,7200,장암,2025-05-31 17:00:05,1
1007,상행,내방,일반,7208,장암,2025-05-31 17:00:05,1
1007,상행,천왕,일반,7218,도봉산,2025-05-31 17:00:05,1
1007,상행,석남,일반,7230,도봉산,2025-05-31 17:00:05,1
1007,상행,석남,일반,7226,도봉산,2025-05-31 17:00:05,1
1007,상행,상봉,일반,7198,도봉산,2025-05-31 17:00:05,1
1007,상행,신대방삼거리,일반,7212,장암,2025-05-31 17:00:05,1
1007,상행,부천시청,일반,7222,도봉산,2025-05-31 17:00:05,1
1007,상행,하계,일반,7196,장암,2025-05-31 17:00:05,1
1007,상행,반포,일반,7206,도봉산,2025-05-31 17:00:05,1
1007,상행,건대입구,일반,7202,도봉산,2025-05-31 17:00:05,1
1003,상행,대곡,일반,3224,대화,2025-05-31 17:00:07,1
1004,상행,산본,일반,4326,불암산,2025-05-31 17:00:07,1
1004,하행,동작,일반,4111,사당,2025-05-31 17:00:08,1
1004,하행,삼각지,일반,4113,사당,2025-05-31 17:00:08,1
1004,하행,동대문역사문화공원,일반,4621,오이도,2025-05-31 17:00:09,1
1004,하행,서울,일반,4619,오이도,2025-05-31 17:00:09,1
1004,하행,미아,일반,4625,오이도,2025-05-31 17:00:10,1
1005,하행,미사,일반,5093,하남검단산,2025-05-31 17:00:11,1
1004,하행,노원,일반,4627,오이도,2025-05-31 17:00:11,1
1001,하행,청량리,급행,1941,신창,2025-05-31 17:00:12,1
1001,하행,종각,일반,0141,인천,2025-05-31 17:00:12,1
1006,하행,마포구청,일반,6159,봉화산,2025-05-31 17:00:12,1
1001,하행,제기동,일반,0811,구로,2025-05-31 17:00:12,1
1006,하행,역촌,일반,6163,신내,2025-05-31 17:00:12,1
1006,하행,석계,일반,6149,봉화산,2025-05-31 17:00:13,1
1005,상행,마천,일반,5604,방화,2025-05-31 17:00:13,1
1005,상행,답십리,일반,5598,방화,2025-05-31 17:00:13,1
1005,상행,신정(은행정),일반,5590,방화,2025-05-31 17:00:13,1
1005,상행,서대문,일반,5104,방화,2025-05-31 17:00:13,1
1005,상행,개화산,일반,5588,방화,2025-05-31 17:00:13,1
1005,상행,왕십리,일반,5108,방화,2025-05-31 17:00:13,1
1004,하행,고잔,일반,4609,오이도,2025-05-31 17:00:14,1
1002,외선,구의,일반,2259,성수,2025-05-31 17:00:15,5
1007,하행,하계,일반,7217,석남,2025-05-31 17:00:15,1
1002,내선,대림,일반,8282,성수,2025-05-31 17:00:15,5
1007,하행,장암,일반,7225,석남,2025-05-31 17:00:15,1
1002,내선,강변,일반,4298,신도림,2025-05-31 17:00:15,5
1002,외선,강남,일반,2265,성수,2025-05-31 17:00:15,5
1001,상행,동대문,일반,0126,연천,2025-05-31 17:00:15,1
1007,하행,도봉산,일반,7219,온수,2025-05-31 17:00:15,1
1001,상행,대방,급행,1094,용산,2025-05-31 17:00:15,1
1002,내선,구의,일반,8300,성수,2025-05-31 17:00:15,5
1007,하행,중화,일반,7215,온수,2025-05-31 17:00:15,1
1007,하행,장암,일반,7229,석남,2025-05-31 17:00:15,1
1001,상행,신도림,일반,0132,동묘앞,2025-05-31 17:00:16,1
1007,하행,가산디지털단지,일반,7197,석남,2025-05-31 17:00:16,1
1008,상행,장지,일반,8158,별내,2025-05-31 17:00:16,1
1007,하행,장승배기,일반,7201,석남,2025-05-31 17:00:16,1
1007,하행,부평구청,일반,7189,석남,2025-05-31 17:00:16,1
1001,하행,부천,일반,0131,인천,2025-05-31 17:00:17,1
1001,상행,제기동,일반,1932,청량리,2025-05-31 17:00:18,1
1008,하행,신흥,일반,8147,모란,2025-05-31 17:00:20,1
1004,상행,과천,일반,4624,불암산,2025-05-31 17:00:20,1
1003,상행,동대입구,일반,3238,대화,2025-05-31 17:00:22,1
1004,하행,정왕,일반,4607,오이도,2025-05-31 17:00:22,1
1003,상행,교대,일반,3246,대화,2025-05-31 17:00:23,1
1003,상행,신사,일반,3244,대화,2025-05-31 17:00:23,1
1005,하행,신길,일반,5607,마천,2025-05-31 17:00:23,1
1005,하행,송정,일반,5613,마천,2025-05-31 17:00:23,1
1006,상행,디지털미디어시티,일반,6154,응암순환(상선),2025-05-31 17:00:23,1
1005,하행,을지로4가,일반,5097,하남검단산,2025-05-31 17:00:23,1
1005,하행,영등포구청,일반,5103,하남검단산,2025-05-31 17:00:23,1
1005,하행,광화문,일반,5603,마천,2025-05-31 17:00:23,1
1004,하행,정부과천청사,일반,4321,안산,2025-05-31 17:00:23,1
1006,상행,광흥창,일반,6156,응암순환(상선),2025-05-31 17:00:24,1
1006,상행,약수,일반,6160,응암순환(상선),2025-05-31 17:00:24,1
1003,상행,학여울,일반,3250,대화,2025-05-31 17:00:24,1
1006,상행,삼각지,일반,6158,응암순환(상선),2025-05-31 17:00:24,1
1008,하행,천호(풍납토성),일반,8153,모란,2025-05-31 17:00:24,1
1001,하행,동묘앞,일반,0691,천안,2025-05-31 17:00:24,1
1001,상행,도원,일반,0140,소요산,2025-05-31 17:00:24,1
1001,상행,금천구청,일반,0464,광운대,2025-05-31 17:00:26,1
1003,상행,오금,일반,3254,대화,2025-05-31 17:00:26,1
1004,상행,총신대입구(이수),일반,4622,불암산,2025-05-31 17:00:27,1
1004,상행,상계,일반,4612,불암산,2025-05-31 17:00:28,1
1001,하행,서울,일반,0473,병점,2025-05-31 17:00:28,1
1004,상행,수유,일반,4614,불암산,2025-05-31 17:00:28,1
1004,상행,노원,일반,4126,불암산,2025-05-31 17:00:28,1
1004,상행,동대문,일반,4618,불암산,2025-05-31 17:00:29,1
1001,상행,도봉,일반,0120,의정부,2025-05-31 17:00:29,1
1004,상행,회현,일반,4130,불암산,2025-05-31 17:00:29,1
1001,상행,금정,일반,0466,광운대,2025-05-31 17:00:30,1
1001,하행,오산,일반,0767,신창,2025-05-31 17:00:30,1
1001,상행,월계,일반,0122,동두천,2025-05-31 17:00:30,1
1004,상행,삼각지,일반,4620,불암산,2025-05-31 17:00:30,1
1004,상행,숙대입구,일반,4322,불암산,2025-05-31 17:00:30,1
1004,상행,남태령,일반,4324,불암산,2025-05-31 17:00:31,1
1001,하행,남영,일반,0139,인천,2025-05-31 17:00:31,1
1001,하행,부천,급행,1099,동인천,2025-05-31 17:00:31,1
1005,상행,여의도,일반,5102,방화,2025-05-31 17:00:33,1
1005,상행,광화문,일반,5594,방화,2025-05-31 17:00:33,1
1005,상행,여의나루,일반,5592,방화,2025-05-31 17:00:33,1
1005,상행,군자(능동),일반,5110,방화,2025-05-31 17:00:34,1
1001,하행,녹양,일반,0151,인천,2025-05-31 17:00:34,1
1008,상행,구리,일반,8152,별내,2025-05-31 17:00:34,1
1001,상행,가능,일반,0116,소요산,2025-05-31 17:00:34,1
1005,상행,방이,일반,5600,방화,2025-05-31 17:00:34,1
1001,상행,덕계,일반,0112,연천,2025-05-31 17:00:35,1
1002,내선,을지로입구,일반,2272,성수,2025-05-31 17:00:35,5
1002,외선,신당,일반,8289,성수,2025-05-31 17:00:35,5
1006,하행,신당,일반,6153,봉화산,2025-05-31 17:00:35,1
1002,외선,잠실나루,일반,3261,성수,2025-05-31 17:00:35,5
1002,내선,낙성대,일반,2286,성수,2025-05-31 17:00:35,5
1002,내선,봉천,일반,2284,성수,2025-05-31 17:00:35,5
1001,하행,병점,일반,0683,신창,2025-05-31 17:00:35,1
1006,하행,녹사평,일반,6155,봉화산,2025-05-31 17:00:35,1
1007,하행,어린이대공원(세종대),일반,7211,온수,2025-05-31 17:00:36,1
1007,하행,용마산,일반,7213,석남,2025-05-31 17:00:36,1
1007,하행,부천종합운동장,일반,7193,석남,2025-05-31 17:00:36,1
1007,하행,남성,일반,7203,온수,2025-05-31 17:00:36,1
1001,하행,관악,일반,0467,병점,2025-05-31 17:00:36,1
1007,하행,논현,일반,7207,온수,2025-05-31 17:00:36,1
1007,하행,고속터미널,일반,7205,석남,2025-05-31 17:00:36,1
1007,하행,대림,일반,7199,온수,2025-05-31 17:00:36,1
1007,하행,도봉산,일반,7223,온수,2025-05-31 17:00:36,1
1001,상행,간석,일반,0138,양주,2025-05-31 17:00:37,1
1001,하행,역곡,일반,0133,인천,2025-05-31 17:00:38,1
1004,상행,중앙,일반,4328,불암산,2025-05-31 17:00:40,1
1003,하행,정발산,일반,3239,오금,2025-05-31 17:00:40,1
1003,하행,고속터미널,일반,3217,오금,2025-05-31 17:00:42,1
1004,하행,대야미,일반,4611,오이도,2025-05-31 17:00:43,1
1003,상행,마두,일반,3222,대화,2025-05-31 17:00:43,1
1003,하행,을지로3가,일반,3223,수서,2025-05-31 17:00:43,1
1001,하행,외대앞,일반,0475,서동탄,2025-05-31 17:00:44,1
1003,하행,홍제,일반,3227,오금,2025-05-31 17:00:44,1
1001,상행,인천,일반,0142,동두천,2025-05-31 17:00:46,1
1007,상행,어린이대공원(세종대),일반,7202,도봉산,2025-05-31 17:00:46,1
1001,상행,인천,일반,0144,광운대,2025-05-31 17:00:46,1
1004,하행,이촌,일반,4617,오이도,2025-05-31 17:00:47,1
1004,하행,회현,일반,4115,사당,2025-05-31 17:00:47,1
1006,상행,돌곶이,일반,6164,응암순환(상선),2025-05-31 17:00:47,1
1004,하행,혜화,일반,4623,오이도,2025-05-31 17:00:48,1
1001,상행,신길,일반,0666,광운대,2025-05-31 17:00:48,1
1004,하행,성신여대입구,일반,4117,사당,2025-05-31 17:00:48,1
1004,하행,남태령,일반,4615,오이도,2025-05-31 17:00:50,1
1001,상행,영등포,특급,1316,용산,2025-05-31 17:00:50,1
1004,하행,사당,일반,4109,사당,2025-05-31 17:00:52,1
1004,하행,사당,일반,4107,사당,2025-05-31 17:00:52,1
1004,하행,중앙,일반,4319,안산,2025-05-31 17:00:53,1
1008,상행,잠실,일반,8156,별내,2025-05-31 17:00:54,1
1002,내선,왕십리,일반,3268,성수,2025-05-31 17:00:55,5
1002,내선,건대입구,일반,2302,성수,2025-05-31 17:00:55,5
1006,하행,대흥(서강대앞),일반,6157,신내,2025-05-31 17:00:57,1
