subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,하행,봉명,급행,1949,신창,2025-05-31 21:02:58,1
1001,하행,쌍용(나사렛대),급행,1949,신창,2025-05-31 21:05:20,1
1004,하행,오이도,일반,4655,오이도,2025-05-31 21:05:35,1
1004,하행,오이도,일반,4653,오이도,2025-05-31 21:05:35,1
1003,상행,대화,일반,3306,대화,2025-05-31 21:07:02,1
1003,상행,대화,일반,3302,대화,2025-05-31 21:07:02,1
1003,상행,불광,일반,3316,대화,2025-05-31 21:07:04,1
1003,하행,대화,일반,3331,수서,2025-05-31 21:07:39,1
1001,상행,전곡,일반,0158,연천,2025-05-31 21:07:55,1
1003,상행,오금,일반,3336,구파발,2025-05-31 21:08:08,1
1001,하행,아산,급행,1949,신창,2025-05-31 21:08:28,1
1001,상행,천안,일반,0706,구로,2025-05-31 21:08:41,1
1001,상행,제물포,급행,1138,용산,2025-05-31 21:08:44,1
1003,상행,연신내,일반,3316,대화,2025-05-31 21:09:14,1
1005,하행,하남검단산,일반,5133,하남검단산,2025-05-31 21:09:51,1
1003,상행,경찰병원,일반,3336,구파발,2025-05-31 21:09:56,1
1001,하행,인천,일반,0177,인천,2025-05-31 21:10:53,1
1003,상행,가락시장,일반,3336,구파발,2025-05-31 21:11:09,1
1005,하행,강일,일반,5137,하남검단산,2025-05-31 21:11:13,1
1001,하행,탕정,급행,1949,신창,2025-05-31 21:11:28,1
1001,상행,인천,일반,0194,연천,2025-05-31 21:11:39,1
1001,상행,인천,일반,0192,동묘앞,2025-05-31 21:11:39,1
1008,하행,별내,일반,8213,모란,2025-05-31 21:11:40,1
1001,상행,주안,급행,1138,용산,2025-05-31 21:11:42,1
1001,하행,두정,일반,0703,신창,2025-05-31 21:11:44,1
1001,상행,송탄,일반,0702,광운대,2025-05-31 21:11:50,1
1003,상행,구파발,일반,3316,대화,2025-05-31 21:11:56,1
1005,상행,강일,일반,5152,방화,2025-05-31 21:12:01,1
1005,상행,강일,일반,5154,방화,2025-05-31 21:12:01,1
1001,상행,역곡,급행,1136,용산,2025-05-31 21:12:04,1
1001,상행,덕정,일반,0164,소요산,2025-05-31 21:12:09,1
1004,상행,오이도,일반,4674,불암산,2025-05-31 21:12:09,1
1008,상행,모란,일반,8218,별내,2025-05-31 21:12:27,1
1001,상행,남영,일반,0692,광운대,2025-05-31 21:12:31,1
1001,하행,오산대,일반,0707,천안,2025-05-31 21:12:42,1
1005,하행,미사,일반,5137,하남검단산,2025-05-31 21:12:48,1
1001,하행,가산디지털단지,일반,0491,서동탄,2025-05-31 21:12:49,1
1001,상행,병점,일반,0494,광운대,2025-05-31 21:12:53,1
1004,상행,금정,일반,4668,불암산,2025-05-31 21:13:00,1
1004,상행,남태령,일반,4664,불암산,2025-05-31 21:13:11,1
1001,상행,군포,일반,0698,광운대,2025-05-31 21:13:22,1
1004,하행,사당,일반,4149,사당,2025-05-31 21:13:26,1
1004,하행,사당,일반,4151,사당,2025-05-31 21:13:26,1
1001,하행,금정,일반,0711,신창,2025-05-31 21:13:26,1
1001,상행,동암,일반,0188,양주,2025-05-31 21:13:33,1
1004,상행,동작,일반,4662,불암산,2025-05-31 21:13:34,1
1004,상행,동작,일반,4174,불암산,2025-05-31 21:13:34,1
1004,하행,범계,일반,4663,오이도,2025-05-31 21:13:40,1
1001,하행,구로,일반,0191,인천,2025-05-31 21:13:42,1
1008,하행,송파,일반,8207,모란,2025-05-31 21:13:43,1
1008,하행,신흥,일반,8203,모란,2025-05-31 21:13:46,1
1001,하행,간석,일반,0181,인천,2025-05-31 21:13:52,1
1001,상행,도봉,일반,0168,의정부,2025-05-31 21:13:54,1
1001,하행,개봉,급행,1137,동인천,2025-05-31 21:13:55,1
1001,하행,금천구청,일반,7035,광명,2025-05-31 21:13:58,1
1001,상행,직산,일반,0704,광운대,2025-05-31 21:13:59,1
1001,상행,가산디지털단지,일반,0488,광운대,2025-05-31 21:14:00,1
1001,하행,서울,일반,0193,인천,2025-05-31 21:14:02,1
1001,하행,구로,일반,0713,천안,2025-05-31 21:14:06,1
1001,하행,동인천,일반,0179,인천,2025-05-31 21:14:07,1
1008,상행,문정,일반,8214,별내,2025-05-31 21:14:08,1
1001,하행,동묘앞,일반,0717,신창,2025-05-31 21:14:08,1
1001,상행,구로,일반,0182,연천,2025-05-31 21:14:08,1
1001,상행,관악,일반,0490,동묘앞,2025-05-31 21:14:09,1
1009,하행,중앙보훈병원,급행,9665,김포공항,2025-05-31 21:14:10,1
1003,하행,원당,일반,3323,오금,2025-05-31 21:14:12,1
1001,하행,영등포,일반,0493,서동탄,2025-05-31 21:14:15,1
1008,하행,다산,일반,8213,모란,2025-05-31 21:14:15,1
1003,상행,수서,일반,3336,구파발,2025-05-31 21:14:15,1
1004,하행,경마공원,일반,4669,오이도,2025-05-31 21:14:16,1
1008,하행,강동구청,일반,8209,모란,2025-05-31 21:14:16,1
1001,하행,종각,일반,0495,병점,2025-05-31 21:14:18,1
1003,상행,지축,일반,3316,대화,2025-05-31 21:14:18,1
1001,하행,석계,일반,0199,인천,2025-05-31 21:14:18,1
1008,상행,동구릉,일반,8208,별내,2025-05-31 21:14:19,1
1001,하행,평택,일반,0705,신창,2025-05-31 21:14:20,1
1001,상행,용산,일반,0178,양주,2025-05-31 21:14:22,1
1001,상행,신길,일반,0180,의정부,2025-05-31 21:14:23,1
1004,하행,중앙,일반,4659,오이도,2025-05-31 21:14:23,1
1001,상행,용산,급행,1132,용산,2025-05-31 21:14:27,1
1001,상행,종로5가,일반,0484,광운대,2025-05-31 21:14:28,1
1001,하행,부평,급행,1135,동인천,2025-05-31 21:14:29,1
1001,상행,온수,일반,0184,의정부,2025-05-31 21:14:30,1
1001,상행,시청,일반,0176,소요산,2025-05-31 21:14:30,1
1001,상행,중동,일반,0186,소요산,2025-05-31 21:14:30,1
1004,하행,동작,일반,4671,오이도,2025-05-31 21:14:33,1
1001,하행,종로5가,일반,0195,인천,2025-05-31 21:14:35,1
1003,하행,불광,일반,3319,수서,2025-05-31 21:14:36,1
1001,상행,성균관대,일반,0492,동묘앞,2025-05-31 21:14:36,1
1004,상행,사당,일반,4664,불암산,2025-05-31 21:14:36,1
1003,하행,불광,일반,3317,오금,2025-05-31 21:14:36,1
1001,상행,동두천,일반,0162,동두천,2025-05-31 21:14:37,1
1009,상행,김포공항,일반,9182,중앙보훈병원,2025-05-31 21:14:37,1
1001,상행,청량리,일반,0690,청량리,2025-05-31 21:14:37,1
1008,상행,산성,일반,8216,별내,2025-05-31 21:14:40,1
1004,상행,고잔,일반,4672,불암산,2025-05-31 21:14:41,1
1001,상행,의정부,일반,0166,양주,2025-05-31 21:14:42,1
1001,하행,신길,일반,0189,인천,2025-05-31 21:14:42,1
1001,하행,배방,급행,1949,신창,2025-05-31 21:14:45,1
1001,하행,부평,일반,0183,인천,2025-05-31 21:14:45,1
1001,하행,양주,일반,0203,인천,2025-05-31 21:14:46,1
1003,상행,독립문,일반,3322,대화,2025-05-31 21:14:48,1
1003,상행,금호,일반,3326,대화,2025-05-31 21:14:49,1
1008,하행,남위례,일반,8205,모란,2025-05-31 21:14:49,1
1003,상행,잠원,일반,3330,대화,2025-05-31 21:14:49,1
1003,상행,대치,일반,3334,대화,2025-05-31 21:14:50,1
1001,상행,신설동,일반,0174,의정부,2025-05-31 21:14:51,1
1008,하행,암사역사공원,일반,8211,모란,2025-05-31 21:14:51,1
1004,하행,산본,일반,4661,오이도,2025-05-31 21:14:52,1
1001,상행,광운대,일반,0172,양주,2025-05-31 21:14:53,1
1001,하행,용산,급행,1141,동인천,2025-05-31 21:14:54,1
1001,하행,용산,급행,1139,동인천,2025-05-31 21:14:54,1
1001,하행,노량진,일반,0817,구로,2025-05-31 21:14:56,1
1008,하행,가락시장,일반,8207,모란,2025-05-31 21:14:56,1
1007,상행,사가정,일반,7278,장암,2025-05-31 21:14:57,1
1004,상행,과천,일반,4666,불암산,2025-05-31 21:14:57,1
1007,상행,군자(능동),일반,7280,도봉산,2025-05-31 21:14:57,1
