고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
4355,1,153,종로3가,DAY,DOWN,0,K673,1900-01-01 17:00:00,17:00:30,광운대,천안
4839,1,153,종로3가,END,DOWN,0,K691,1900-01-01 17:00:00,17:00:30,광운대,천안
5301,1,153,종로3가,SAT,DOWN,0,K691,1900-01-01 17:00:00,17:00:30,광운대,천안
17241,1,1004,노량진,DAY,DOWN,0,K473,1900-01-01 17:00:00,17:00:30,광운대,서동탄
23161,1,1007,신도림,DAY,DOWN,1,K1117,1900-01-01 17:00:00,17:00:30,용산,동인천
25441,1,1015,회기,END,DOWN,0,S475,1900-01-01 17:00:00,17:00:30,광운대,서동탄
25803,1,1015,회기,SAT,DOWN,0,S475,1900-01-01 17:00:00,17:00:30,광운대,서동탄
27481,1,1017,신이문,END,DOWN,0,K145,1900-01-01 17:00:00,17:00:30,의정부,인천
27843,1,1017,신이문,SAT,DOWN,0,K145,1900-01-01 17:00:00,17:00:30,의정부,인천
28305,1,1018,석계,DAY,DOWN,0,K675,1900-01-01 17:00:00,17:00:30,광운대,천안
32580,1,1032,신길,DAY,DOWN,0,K145,1900-01-01 17:00:00,17:00:30,의정부,인천
36382,1,1701,구로,DAY,DOWN,1,K1615,1900-01-01 17:00:00,17:01:00,동두천,인천
45788,1,1711,성균관대,END,DOWN,1,K1937,1900-01-01 17:00:00,17:01:00,청량리,천안
46042,1,1711,성균관대,SAT,DOWN,1,K1937,1900-01-01 17:00:00,17:01:00,청량리,천안
67083,1,1809,주안,END,DOWN,0,S129,1900-01-01 17:00:00,17:00:30,양주,인천
67447,1,1809,주안,SAT,DOWN,0,S129,1900-01-01 17:00:00,17:00:30,양주,인천
81558,1,1903,도봉산,END,DOWN,0,K149,1900-01-01 17:00:00,17:00:30,의정부,인천
81780,1,1903,도봉산,SAT,DOWN,0,K149,1900-01-01 17:00:00,17:00:30,의정부,인천
1912,1,151,시청,END,DOWN,0,K141,1900-01-01 17:00:30,17:01:00,소요산,인천
2374,1,151,시청,SAT,DOWN,0,K141,1900-01-01 17:00:30,17:01:00,소요산,인천
7213,1,155,동대문,DAY,DOWN,0,S151,1900-01-01 17:00:30,17:01:00,동묘앞,인천
7677,1,155,동대문,END,DOWN,0,K811,1900-01-01 17:00:30,17:01:00,동두천,구로
8139,1,155,동대문,SAT,DOWN,0,K811,1900-01-01 17:00:30,17:01:00,동두천,구로
8671,1,156,신설동,DAY,DOWN,1,K1941,1900-01-01 17:00:30,17:01:00,청량리,신창
10471,1,157,제기동,END,DOWN,1,K1941,1900-01-01 17:00:30,17:01:00,청량리,신창
10913,1,157,제기동,SAT,DOWN,1,K1941,1900-01-01 17:00:30,17:01:00,청량리,신창
21616,1,1006,영등포,END,DOWN,0,K137,1900-01-01 17:00:30,17:01:00,양주,인천
22266,1,1006,영등포,SAT,DOWN,0,K137,1900-01-01 17:00:30,17:01:00,양주,인천
35355,1,1405,배방,DAY,DOWN,0,K661,1900-01-01 17:00:30,17:01:00,광운대,신창
38317,1,1702,가산디지털단지,DAY,DOWN,1,K1939,1900-01-01 17:00:30,17:01:30,청량리,신창
39396,1,1703,금천구청,END,DOWN,0,K469,1900-01-01 17:00:30,17:01:00,광운대,서동탄
39690,1,1703,금천구청,SAT,DOWN,0,K469,1900-01-01 17:00:30,17:01:00,광운대,서동탄
50436,1,1717,세마,END,DOWN,0,K683,1900-01-01 17:00:30,17:01:00,광운대,신창
50596,1,1717,세마,SAT,DOWN,0,K683,1900-01-01 17:00:30,17:01:00,광운대,신창
52238,1,1721,송탄,DAY,DOWN,0,K665,1900-01-01 17:00:30,17:01:00,구로,신창
52439,1,1721,송탄,END,DOWN,0,K767,1900-01-01 17:00:30,17:01:00,병점,신창
52599,1,1721,송탄,SAT,DOWN,0,K767,1900-01-01 17:00:30,17:01:00,병점,신창
53768,1,1724,평택,DAY,DOWN,1,K1935,1900-01-01 17:00:30,17:01:00,청량리,천안
54387,1,1725,성환,END,DOWN,0,K679,1900-01-01 17:00:30,17:01:00,광운대,천안
54547,1,1725,성환,SAT,DOWN,0,K679,1900-01-01 17:00:30,17:01:00,광운대,천안
63166,1,1806,부평,DAY,DOWN,0,K139,1900-01-01 17:00:30,17:01:00,의정부,인천
69005,1,1811,동인천,DAY,DOWN,1,K1111,1900-01-01 17:00:30,,용산,동인천
83410,1,1906,의정부,DAY,DOWN,0,K159,1900-01-01 17:00:30,17:01:00,양주,인천
86997,1,1913,동두천중앙,END,DOWN,0,K155,1900-01-01 17:00:30,17:01:00,연천,인천
87109,1,1913,동두천중앙,SAT,DOWN,0,K155,1900-01-01 17:00:30,17:01:00,연천,인천
1432,1,151,시청,DAY,DOWN,0,K149,1900-01-01 17:01:00,17:01:30,소요산,인천
11323,1,158,청량리,DAY,DOWN,0,S477,1900-01-01 17:01:00,17:01:30,광운대,서동탄
18059,1,1004,노량진,END,DOWN,1,K1103,1900-01-01 17:01:00,17:01:30,용산,동인천
18668,1,1004,노량진,SAT,DOWN,1,K1103,1900-01-01 17:01:00,17:01:30,용산,동인천
29305,1,1019,광운대,DAY,DOWN,0,K155,1900-01-01 17:01:00,17:02:00,양주,인천
30823,1,1020,월계,END,DOWN,0,S903,1900-01-01 17:01:00,17:01:30,양주,서울역
31045,1,1020,월계,SAT,DOWN,0,S903,1900-01-01 17:01:00,17:01:30,양주,서울역
47242,1,1713,수원,END,DOWN,0,K465,1900-01-01 17:01:00,17:01:30,광운대,서동탄
47496,1,1713,수원,SAT,DOWN,0,K465,1900-01-01 17:01:00,17:01:30,광운대,서동탄
62431,1,1805,송내,END,DOWN,0,K131,1900-01-01 17:01:00,17:01:30,연천,인천
62797,1,1805,송내,SAT,DOWN,0,K131,1900-01-01 17:01:00,17:01:30,연천,인천
65636,1,1808,동암,DAY,DOWN,1,K1203,1900-01-01 17:01:00,17:01:30,구로,동인천
81300,1,1903,도봉산,DAY,DOWN,0,K157,1900-01-01 17:01:00,17:01:30,의정부,인천
84874,1,1908,녹양,END,DOWN,0,K151,1900-01-01 17:01:00,17:01:30,소요산,인천
85050,1,1908,녹양,SAT,DOWN,0,K151,1900-01-01 17:01:00,17:01:30,소요산,인천
87221,1,1914,보산,DAY,DOWN,0,K165,1900-01-01 17:01:00,17:01:30,연천,인천
15453,1,1003,용산,DAY,DOWN,0,S147,1900-01-01 17:01:30,17:02:00,양주,인천
19763,1,1005,대방,END,DOWN,0,K471,1900-01-01 17:01:30,17:02:00,광운대,서동탄
20372,1,1005,대방,SAT,DOWN,0,K471,1900-01-01 17:01:30,17:02:00,광운대,서동탄
24916,1,1015,회기,DAY,DOWN,0,K153,1900-01-01 17:01:30,17:02:00,연천,인천
26384,1,1016,외대앞,END,DOWN,0,K145,1900-01-01 17:01:30,17:02:00,의정부,인천
26746,1,1016,외대앞,SAT,DOWN,0,K145,1900-01-01 17:01:30,17:02:00,의정부,인천
36942,1,1701,구로,END,DOWN,0,K687,1900-01-01 17:01:30,17:02:30,광운대,천안
37629,1,1701,구로,SAT,DOWN,0,K687,1900-01-01 17:01:30,17:02:30,광운대,천안
