고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
9980,1,157,제기동,DAY,DOWN,0,S501,1900-01-01 21:00:00,21:00:30,광운대,서동탄
12526,1,159,동묘앞,DAY,DOWN,0,K203,1900-01-01 21:00:00,21:00:30,연천,인천
13003,1,159,동묘앞,END,DOWN,0,K193,1900-01-01 21:00:00,21:00:30,연천,인천
13465,1,159,동묘앞,SAT,DOWN,0,K193,1900-01-01 21:00:00,21:00:30,연천,인천
24942,1,1015,회기,DAY,DOWN,0,K205,1900-01-01 21:00:00,21:00:30,동두천,인천
25310,1,1015,회기,END,DOWN,0,K195,1900-01-01 21:00:00,21:00:30,양주,인천
25672,1,1015,회기,SAT,DOWN,0,K195,1900-01-01 21:00:00,21:00:30,양주,인천
48658,1,1715,세류,DAY,DOWN,0,K493,1900-01-01 21:00:00,21:00:30,청량리,서동탄
57373,1,1801,개봉,DAY,DOWN,0,K195,1900-01-01 21:00:00,21:00:30,동두천,인천
67894,1,1810,제물포,DAY,DOWN,1,K1173,1900-01-01 21:00:00,21:00:30,용산,동인천
5775,1,154,종로5가,DAY,DOWN,0,K699,1900-01-01 21:00:30,21:01:00,청량리,신창
6258,1,154,종로5가,END,DOWN,0,K715,1900-01-01 21:00:30,21:01:00,청량리,신창
6720,1,154,종로5가,SAT,DOWN,0,K715,1900-01-01 21:00:30,21:01:00,청량리,신창
16140,1,1003,용산,END,DOWN,0,S493,1900-01-01 21:00:30,21:01:00,광운대,서동탄
16749,1,1003,용산,SAT,DOWN,0,S493,1900-01-01 21:00:30,21:01:00,광운대,서동탄
19172,1,1005,대방,DAY,DOWN,0,K697,1900-01-01 21:00:30,21:01:00,광운대,천안
19293,1,1005,대방,DAY,DOWN,1,K1181,1900-01-01 21:00:30,21:01:00,용산,동인천
19947,1,1005,대방,END,DOWN,1,K1137,1900-01-01 21:00:30,21:01:00,용산,동인천
20556,1,1005,대방,SAT,DOWN,1,K1137,1900-01-01 21:00:30,21:01:00,용산,동인천
21637,1,1006,영등포,END,DOWN,0,K187,1900-01-01 21:00:30,21:01:00,의정부,인천
22287,1,1006,영등포,SAT,DOWN,0,K187,1900-01-01 21:00:30,21:01:00,의정부,인천
29728,1,1019,광운대,END,DOWN,0,K197,1900-01-01 21:00:30,21:01:30,동두천,인천
30111,1,1019,광운대,SAT,DOWN,0,K197,1900-01-01 21:00:30,21:01:30,동두천,인천
36891,1,1701,구로,END,DOWN,0,K491,1900-01-01 21:00:30,21:01:30,광운대,서동탄
37578,1,1701,구로,SAT,DOWN,0,K491,1900-01-01 21:00:30,21:01:30,광운대,서동탄
57511,1,1801,개봉,DAY,DOWN,1,K1179,1900-01-01 21:00:30,21:01:00,용산,동인천
65541,1,1808,동암,DAY,DOWN,0,S189,1900-01-01 21:00:30,21:01:00,양주,인천
66020,1,1808,동암,END,DOWN,1,K1133,1900-01-01 21:00:30,21:01:00,용산,동인천
66384,1,1808,동암,SAT,DOWN,1,K1133,1900-01-01 21:00:30,21:01:00,용산,동인천
73019,1,1815,부개,DAY,DOWN,0,K191,1900-01-01 21:00:30,21:01:00,연천,인천
75316,1,1817,도원,DAY,DOWN,0,K187,1900-01-01 21:00:30,21:01:00,소요산,인천
79920,1,1901,방학,DAY,DOWN,0,K209,1900-01-01 21:00:30,21:01:00,동두천,인천
85450,1,1909,양주,END,DOWN,0,K201,1900-01-01 21:00:30,21:01:00,소요산,인천
85626,1,1909,양주,SAT,DOWN,0,K201,1900-01-01 21:00:30,21:01:00,소요산,인천
86513,1,1912,지행,DAY,DOWN,0,K215,1900-01-01 21:00:30,21:01:00,소요산,인천
1457,1,151,시청,DAY,DOWN,0,K201,1900-01-01 21:01:00,21:01:30,동두천,인천
10340,1,157,제기동,END,DOWN,0,K495,1900-01-01 21:01:00,21:01:30,광운대,병점
10782,1,157,제기동,SAT,DOWN,0,K495,1900-01-01 21:01:00,21:01:30,광운대,병점
14086,1,1002,남영,DAY,DOWN,0,S499,1900-01-01 21:01:00,21:01:30,광운대,서동탄
35587,1,1407,온양온천,DAY,DOWN,0,K683,1900-01-01 21:01:00,21:01:30,광운대,신창
43198,1,1708,금정,DAY,DOWN,1,K1951,1900-01-01 21:01:00,21:01:30,청량리,신창
43874,1,1709,군포,DAY,DOWN,0,K495,1900-01-01 21:01:00,21:06:00,광운대,서동탄
45483,1,1711,성균관대,DAY,DOWN,0,K693,1900-01-01 21:01:00,21:01:30,광운대,천안
45749,1,1711,성균관대,END,DOWN,0,K709,1900-01-01 21:01:00,21:01:30,광운대,신창
46003,1,1711,성균관대,SAT,DOWN,0,K709,1900-01-01 21:01:00,21:01:30,광운대,신창
58963,1,1802,오류동,END,DOWN,0,K185,1900-01-01 21:01:00,21:01:30,양주,인천
59329,1,1802,오류동,SAT,DOWN,0,K185,1900-01-01 21:01:00,21:01:30,양주,인천
61289,1,1804,부천,END,DOWN,0,K183,1900-01-01 21:01:00,21:01:30,동두천,인천
